Date,Elevation (feet),
01-Dec-1968,5985.19,
01-Jan-1969,5980.22,
01-Feb-1969,5975.45,
01-Mar-1969,5973.47,
01-Apr-1969,5977.25,
01-May-1969,5981.4,
01-Jun-1969,5989.76,
01-Jul-1969,5989.64,
01-Aug-1969,5985.89,
01-Sep-1969,5981.85,
01-Oct-1969,5980.3,
01-Nov-1969,5977.32,
01-Dec-1969,5970.96,
01-Jan-1970,5968.74,
01-Feb-1970,5967.42,
01-Mar-1970,5967.33,
01-Apr-1970,5966.97,
01-May-1970,5971.61,
01-Jun-1970,5982.23,
01-Jul-1970,5983.4,
01-Aug-1970,5981.78,
01-Sep-1970,5980.44,
01-Oct-1970,5980.9,
01-Nov-1970,5980.61,
01-Dec-1970,5979.25,
01-Jan-1971,5979.88,
01-Feb-1971,5981.09,
01-Mar-1971,5983.72,
01-Apr-1971,5987.94,
01-May-1971,6000.32,
01-Jun-1971,6016.35,
01-Jul-1971,6021.83,
01-Aug-1971,6020.67,
01-Sep-1971,6018.68,
01-Oct-1971,6017.76,
01-Nov-1971,6015.22,
01-Dec-1971,6012.01,
01-Jan-1972,6009.78,
01-Feb-1972,6007.62,
01-Mar-1972,6009.94,
01-Apr-1972,6012.73,
01-May-1972,6017.87,
01-Jun-1972,6032.92,
01-Jul-1972,6034.8,
01-Aug-1972,6033.66,
01-Sep-1972,6033.05,
01-Oct-1972,6030.28,
01-Nov-1972,6027.19,
01-Dec-1972,6023.07,
01-Jan-1973,6019.57,
01-Feb-1973,6017.07,
01-Mar-1973,6017.64,
01-Apr-1973,6022.4,
01-May-1973,6027.23,
01-Jun-1973,6028.63,
01-Jul-1973,6029.38,
01-Aug-1973,6026.99,
01-Sep-1973,6025.62,
01-Oct-1973,6023.76,
01-Nov-1973,6021.49,
01-Dec-1973,6018.89,
01-Jan-1974,6017.73,
01-Feb-1974,6019.74,
01-Mar-1974,6023.08,
01-Apr-1974,6025.56,
01-May-1974,6029.9,
01-Jun-1974,6037.09,
01-Jul-1974,6039.96,
01-Aug-1974,6038.51,
01-Sep-1974,6035.97,
01-Oct-1974,6032.73,
01-Nov-1974,6030.28,
01-Dec-1974,6027.8,
01-Jan-1975,6025.55,
01-Feb-1975,6022.92,
01-Mar-1975,6022.66,
01-Apr-1975,6023.45,
01-May-1975,6027.24,
01-Jun-1975,6034.98,
01-Jul-1975,6040.09,
01-Aug-1975,6038.6,
01-Sep-1975,6037.62,
01-Oct-1975,6037,
01-Nov-1975,6035.47,
01-Dec-1975,6032.17,
01-Jan-1976,6029.56,
01-Feb-1976,6028.89,
01-Mar-1976,6029.64,
01-Apr-1976,6030.13,
01-May-1976,6033.5,
01-Jun-1976,6036.44,
01-Jul-1976,6036.44,
01-Aug-1976,6035.71,
01-Sep-1976,6033.28,
01-Oct-1976,6030.46,
01-Nov-1976,6027.6,
01-Dec-1976,6024.23,
01-Jan-1977,6021.14,
01-Feb-1977,6018.75,
01-Mar-1977,6013.55,
01-Apr-1977,6009.97,
01-May-1977,6005.6,
01-Jun-1977,6001.67,
01-Jul-1977,5997.81,
01-Aug-1977,5994.15,
01-Sep-1977,5991.36,
01-Oct-1977,5990.05,
01-Nov-1977,5988.98,
01-Dec-1977,5988.1,
01-Jan-1978,5987.98,
01-Feb-1978,5987.9,
01-Mar-1978,5988.37,
01-Apr-1978,5990.85,
01-May-1978,5997.22,
01-Jun-1978,6009.99,
01-Jul-1978,6015.09,
01-Aug-1978,6016.02,
01-Sep-1978,6015.62,
01-Oct-1978,6014.52,
01-Nov-1978,6013.08,
01-Dec-1978,6011.07,
01-Jan-1979,6008.66,
01-Feb-1979,6005.73,
01-Mar-1979,6004.73,
01-Apr-1979,6004.84,
01-May-1979,6007.79,
01-Jun-1979,6012.3,
01-Jul-1979,6010.29,
01-Aug-1979,6009.2,
01-Sep-1979,6007.89,
01-Oct-1979,6006.36,
01-Nov-1979,6004.28,
01-Dec-1979,6002.3,
01-Jan-1980,5999.7,
01-Feb-1980,5997.18,
01-Mar-1980,5997.35,
01-Apr-1980,6001.8,
01-May-1980,6010.02,
01-Jun-1980,6019.5,
01-Jul-1980,6024.11,
01-Aug-1980,6023.93,
01-Sep-1980,6022.82,
01-Oct-1980,6021.36,
01-Nov-1980,6020.7,
01-Dec-1980,6021.03,
01-Jan-1981,6020.89,
01-Feb-1981,6019.79,
01-Mar-1981,6019.05,
01-Apr-1981,6019.38,
01-May-1981,6019.87,
01-Jun-1981,6021.25,
01-Jul-1981,6021.15,
01-Aug-1981,6020.86,
01-Sep-1981,6018.29,
01-Oct-1981,6016.74,
01-Nov-1981,6015.43,
01-Dec-1981,6014.37,
01-Jan-1982,6013.31,
01-Feb-1982,6010.75,
01-Mar-1982,6010.72,
01-Apr-1982,6009.93,
01-May-1982,6012.58,
01-Jun-1982,6022.03,
01-Jul-1982,6033.17,
01-Aug-1982,6035.83,
01-Sep-1982,6035.72,
01-Oct-1982,6035.35,
01-Nov-1982,6031.76,
01-Dec-1982,6028.98,
01-Jan-1983,6026.55,
01-Feb-1983,6025.27,
01-Mar-1983,6025.45,
01-Apr-1983,6027.45,
01-May-1983,6031.8,
01-Jun-1983,6042.5,
01-Jul-1983,6041.67,
01-Aug-1983,6039.86,
01-Sep-1983,6038.25,
01-Oct-1983,6036.87,
01-Nov-1983,6035.45,
01-Dec-1983,6032.7,
01-Jan-1984,6028.93,
01-Feb-1984,6024.83,
01-Mar-1984,6022.18,
01-Apr-1984,6022.54,
01-May-1984,6028.28,
01-Jun-1984,6036.66,
01-Jul-1984,6039.38,
01-Aug-1984,6039.08,
01-Sep-1984,6038.46,
01-Oct-1984,6037.15,
01-Nov-1984,6035.15,
01-Dec-1984,6030.86,
01-Jan-1985,6025.9,
01-Feb-1985,6021.65,
01-Mar-1985,6020.3,
01-Apr-1985,6023.68,
01-May-1985,6030.27,
01-Jun-1985,6032.74,
01-Jul-1985,6031.89,
01-Aug-1985,6030.34,
01-Sep-1985,6028.67,
01-Oct-1985,6027.53,
01-Nov-1985,6026.24,
01-Dec-1985,6023.88,
01-Jan-1986,6021.04,
01-Feb-1986,6019.46,
01-Mar-1986,6018.19,
01-Apr-1986,6018.92,
01-May-1986,6018.49,
01-Jun-1986,6030.22,
01-Jul-1986,6036.38,
01-Aug-1986,6037.66,
01-Sep-1986,6037.34,
01-Oct-1986,6036,
01-Nov-1986,6032.38,
01-Dec-1986,6027.66,
01-Jan-1987,6023.43,
01-Feb-1987,6019.79,
01-Mar-1987,6020.19,
01-Apr-1987,6024.45,
01-May-1987,6030.67,
