Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1950,569.04,570.19,569.14,572.99,572.41,573.2,575.87,577.97,584.56,592.43,605.22,616.17
1951,628.8,635.32,637.44,635.9,642.29,634.37,626.4,626.87,630.6,629.28,637.17,639.21
1952,639.37,639.61,638.83,638.79,639.65,638.02,638.87,638.73,638.92,639.02,639.2,639.74
1953,640.14,638.87,640.84,643.23,642.72,636.05,628.05,622.92,626.91,631.49,638.86,642.86
1954,642.53,643.77,646.11,646.1,646.04,644.42,642.72,636.35,640.28,643.23,642.8,643.08
1955,641.31,643.44,645.13,645.41,646.95,636.81,630.96,629.75,624.47,623.47,626.3,633.19
1956,641.01,643.37,643.76,645.67,645.54,641.04,636,628.25,626.05,623.93,630.44,634.56
1957,642.02,642.59,642.67,644.33,644.99,641.97,634.66,631.05,632.79,636.81,639.22,639.16
1958,637.14,644.62,644.5,646.01,646.15,641.53,636.56,636.05,636.43,637.9,639.14,641.16
1959,642.26,643.08,643.16,641.24,645.77,639.59,631.78,631.13,631.06,632.7,637.75,641.48
1960,645.94,644.07,638.15,638.04,637.1,636.09,630.58,631.24,634.19,632.3,632.11,640.08
1961,642.89,643.1,642.46,644.3,645.28,640.06,633.98,631.38,629.66,630.81,635.14,642.4
1962,642.34,644.88,643.26,642.97,644.48,640.2,633.2,630.26,629.59,631.14,635,643.02
1963,642.4,643.02,643.15,644.29,646.75,639.2,634.2,631.45,631.89,630.72,631.22,637.56
1964,642.9,642.1,641.74,643.67,646.38,641.38,636.92,632.22,629.25,632.33,634.92,638.89
1965,642.32,642.4,641.75,643.58,646.3,643.88,637.6,632.45,630.69,631.55,636.05,644.42
1966,645.5,643,644.35,643.41,644.68,639.47,635.34,631.79,631.01,630.95,635.27,638.37
1967,640.8,641.65,642.21,642.07,644.97,641.94,638.98,635.46,631.6,633.04,640.4,644.27
1968,642.72,640.9,641.91,642.83,645.27,642.29,637.62,632.68,631.38,630.45,631.92,636.12
1969,642.83,641.74,641.33,643.43,645.18,643.39,639.4,632.52,633.27,632.58,635.73,636.29
1970,641.14,639.95,639.74,639.8,644.21,641.8,638.05,635.7,630.7,631.68,633.62,636.43
1971,640.25,643.04,641.8,643.27,646.1,642.7,634.6,635,633.26,633.25,634.65,637
1972,640.58,641.8,642.55,642.64,643.88,642.76,635.65,633.74,631.8,638.68,639.36,636.32
1973,639.6,644.78,642.28,639.6,645.68,640.8,635.3,635.8,632.13,630.7,634.3,638.2
1974,640.26,640.36,640.75,637.92,640.52,638.47,633.43,632.55,630.86,633.58,638.47,637.85
1975,639.07,641.45,639.45,637.36,640.1,640.63,637,633.3,631.07,631.7,634.87,637.16
1976,639.99,642.34,641.38,641.37,645.4,641.67,639.9,638.23,643.8,641.7,642.35,643.63
1977,642.17,641.97,643.3,645.04,644.75,638.88,633.25,637,634.2,633.3,635.3,640.93
1978,642.44,641.1,640,639.75,643.8,636.4,631.8,633.35,634.95,638.95,640.7,642.4
1979,644.3,641.45,642.03,636.75,641,639.65,634.65,634.66,632.73,632.64,636.65,640.6
1980,644.4,642.34,640.72,637.5,645.27,638.77,637.78,636.81,633.4,635.63,635.65,639.18
1981,642.97,643.27,643.22,643.9,645.52,640.7,634.52,632.97,634.14,633.7,636.51,638.5
1982,640.93,640.42,642.06,643.76,646,641.9,636.28,637.99,632.68,631.74,635.87,641.06
1983,643.31,641.11,643.55,640.99,640.56,646.06,645.02,645.02,639.37,633.71,636.16,641.53
1984,642.76,643.9,643.33,636.34,639.62,640.7,642.7,642.5,638.74,637.09,635.25,635.87
1985,643.6,644.19,644.23,645.32,642.64,643.93,644.58,643.38,637.91,634.01,634.5,632.03
1986,641.08,638.63,641.77,639.38,642.18,641.88,638.25,633.51,631.44,633.8,632.52,636.46
1987,643.7,643.44,645.38,644.07,645.42,640.61,633.12,631.86,633.06,633.65,638.34,635.41
1988,640.69,645.28,642.58,645.74,645,642.94,634.63,636.15,635.76,635.51,636.75,639.12
1989,643.61,642.83,641.19,637.62,645.27,645.72,638.83,635.09,631.19,631.99,637.65,640.68
1990,645.24,641.49,642.25,640.1,639.52,637.56,636.52,638.41,635.07,632.86,633.43,639.28
1991,642.76,643.18,645.19,640.01,640.85,639.01,636.05,634.92,638.29,639.24,640.5,646.01
1992,642.01,641.36,642.01,638.77,641.72,639.48,636.41,640.81,640.21,637.03,635.32,640.22
1993,644.31,643.37,642.71,637.35,643.67,641.67,640.52,635.88,630.66,633.37,635.89,639.78
1994,640.44,640.96,641.76,643.48,645.63,642.26,638.48,638.63,634.38,630.23,634.08,641.12
1995,641.1,639.63,643.03,644.52,644.02,642.97,640.75,641.61,640.66,638.01,633.54,640.44
1996,640.53,641.8,640.56,643.3,644.29,642.52,641.19,641.07,638.53,635.45,636.58,638.51
1997,642.03,642.44,644.02,643.55,644.61,643.16,642.79,640.69,642.1,635.21,634.54,642.82
1998,642.38,641.5,641.43,644.05,644.44,642.87,642.42,643.2,644.11,641.19,639.77,636.86
1999,641.11,642.21,642.22,641.94,643.31,642.77,642.92,643.45,636.11,631.15,634.23,638.91
2000,642.51,641.75,642.1,642.95,644.75,643.07,641.95,643.42,636.42,629.58,634.44,639.66
2001,642.26,641.48,643.43,644.27,642.3,640.72,641.46,641.89,639.73,634.57,636.76,641.37
2002,642.09,640.95,643.37,642.4,644.36,643.78,642.87,642.98,638.47,635.03,636.18,642.27
2003,643.24,644.08,642.53,642.53,643.6,642.89,644.6,644.48,640.95,634.31,636.53,638.98
2004,640.22,643.62,642.21,642.33,644.09,642.91,643.29,643.2,639.54,635.9,636.02,640.65
2005,641.53,643.88,642.64,643.36,643.86,642.47,642.02,644.13,638.32,636.59,637.02,640.62
2006,640.52,640.32,641.75,641.78,642.69,641.95,642.85,643.26,638.76,634.29,635.85,638.56
