Date,Elevation (feet),,,,,,,,,
01-Dec-1963,3409.6, , , , , , , , , 
01-Jan-1964,3414.6, , , , , , , , , 
01-Feb-1964,3414.8, , , , , , , , , 
01-Mar-1964,3410.8, , , , , , , , , 
01-Apr-1964,3398.2, , , , , , , , , 
01-May-1964,3434.7, , , , , , , , , 
01-Jun-1964,3471.98, , , , , , , , , 
01-Jul-1964,3484.15, , , , , , , , , 
01-Aug-1964,3490.28, , , , , , , , , 
01-Sep-1964,3491.69, , , , , , , , , 
01-Oct-1964,3491.91, , , , , , , , , 
01-Nov-1964,3491.47, , , , , , , , , 
01-Dec-1964,3491.94, , , , , , , , , 
01-Jan-1965,3491.41, , , , , , , , , 
01-Feb-1965,3491.91, , , , , , , , , 
01-Mar-1965,3491.88, , , , , , , , , 
01-Apr-1965,3490.91, , , , , , , , , 
01-May-1965,3491.82, , , , , , , , , 
01-Jun-1965,3510.85, , , , , , , , , 
01-Jul-1965,3530.91, , , , , , , , , 
01-Aug-1965,3531.34, , , , , , , , , 
01-Sep-1965,3530.12, , , , , , , , , 
01-Oct-1965,3531.57, , , , , , , , , 
01-Nov-1965,3532.56, , , , , , , , , 
01-Dec-1965,3534.63, , , , , , , , , 
01-Jan-1966,3535.21, , , , , , , , , 
01-Feb-1966,3534.34, , , , , , , , , 
01-Mar-1966,3536.73, , , , , , , , , 
01-Apr-1966,3538.98, , , , , , , , , 
01-May-1966,3544.57, , , , , , , , , 
01-Jun-1966,3544.91, , , , , , , , , 
01-Jul-1966,3540.01, , , , , , , , , 
01-Aug-1966,3534, , , , , , , , , 
01-Sep-1966,3529.46, , , , , , , , , 
01-Oct-1966,3527.12, , , , , , , , , 
01-Nov-1966,3523.57, , , , , , , , , 
01-Dec-1966,3521.45, , , , , , , , , 
01-Jan-1967,3517.39, , , , , , , , , 
01-Feb-1967,3515.15, , , , , , , , , 
01-Mar-1967,3512.5, , , , , , , , , 
01-Apr-1967,3507.32, , , , , , , , , 
01-May-1967,3509.1, , , , , , , , , 
01-Jun-1967,3529.15, , , , , , , , , 
01-Jul-1967,3532.53, , , , , , , , , 
01-Aug-1967,3530.48, , , , , , , , , 
01-Sep-1967,3528.49, , , , , , , , , 
01-Oct-1967,3528.23, , , , , , , , , 
01-Nov-1967,3528.32, , , , , , , , , 
01-Dec-1967,3527.06, , , , , , , , , 
01-Jan-1968,3525.06, , , , , , , , , 
01-Feb-1968,3526.04, , , , , , , , , 
01-Mar-1968,3520.48, , , , , , , , , 
01-Apr-1968,3514.04, , , , , , , , , 
01-May-1968,3522.24, , , , , , , , , 
01-Jun-1968,3547, , , , , , , , , 
01-Jul-1968,3546.1, , , , , , , , , 
01-Aug-1968,3548.73, , , , , , , , , 
01-Sep-1968,3545.35, , , , , , , , , 
01-Oct-1968,3543.39, , , , , , , , , 
